show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_minutes
s1,Movie,The Irishman,David Fincher,"Actor 84, Actor 143",France,"January 1, 2023",2012,TV-MA,169,"Dramas, Comedies",Enjoy this great title on Netflix!,169
s2,Movie,Marriage Story,Martin Scorsese,"Actor 8, Actor 120",Japan,"January 1, 2020",2023,TV-14,104,"Dramas, Comedies",Enjoy this great title on Netflix!,104
s3,Movie,Roma,David Fincher,"Actor 28, Actor 197",France,"January 1, 2015",2014,TV-MA,171,"Dramas, Comedies",Enjoy this great title on Netflix!,171
s4,Movie,Bird Box,Martin Scorsese,"Actor 14, Actor 185",Unknown,"January 1, 2021",2013,TV-PG,123,"Dramas, Comedies",Enjoy this great title on Netflix!,123
s5,Movie,Extraction,Unknown,"Actor 34, Actor 179",United Kingdom,"January 1, 2018",2011,PG-13,119,"Dramas, Comedies",Enjoy this great title on Netflix!,119
s6,Movie,Glass Onion,Zack Snyder,"Actor 65, Actor 153",Japan,"January 1, 2018",2021,TV-PG,119,"Dramas, Comedies",Enjoy this great title on Netflix!,119
s7,Movie,Don't Look Up,David Fincher,"Actor 90, Actor 109",France,"January 1, 2019",2016,TV-14,116,"Dramas, Comedies",Enjoy this great title on Netflix!,116
s8,Movie,Red Notice,Zack Snyder,"Actor 80, Actor 117",South Korea,"January 1, 2021",2012,PG-13,108,"Dramas, Comedies",Enjoy this great title on Netflix!,108
s9,Movie,The Adam Project,Zack Snyder,"Actor 69, Actor 162",United Kingdom,"January 1, 2023",2012,PG-13,106,"Dramas, Comedies",Enjoy this great title on Netflix!,106
s10,Movie,Enola Holmes,Martin Scorsese,"Actor 77, Actor 157",India,"January 1, 2016",2019,TV-14,161,"Dramas, Comedies",Enjoy this great title on Netflix!,161
s11,Movie,The Old Guard,Greta Gerwig,"Actor 11, Actor 183",Japan,"January 1, 2015",2020,R,148,"Dramas, Comedies",Enjoy this great title on Netflix!,148
s12,Movie,6 Underground,Zack Snyder,"Actor 86, Actor 120",South Korea,"January 1, 2018",2010,TV-PG,117,"Dramas, Comedies",Enjoy this great title on Netflix!,117
s13,Movie,Murder Mystery,Zack Snyder,"Actor 38, Actor 147",United Kingdom,"January 1, 2020",2017,PG-13,127,"Dramas, Comedies",Enjoy this great title on Netflix!,127
